"","V1","V2","V3","V4","forest","nonforest"
"MG02",43,43,43,43,1,0
"MG04",43,43,43,43,1,0
"MG05",42,42,42,42,1,0
"MG06",41,43,41,43,1,0
"MG07",95,95,95,95,0,1
"MG08",95,95,95,95,0,1
"MG09",90,43,90,43,1,1
"MG10",43,43,43,43,1,0
"MG12",90,95,90,95,0,1
"MG14",95,95,95,95,0,1
"MG16",43,43,43,43,1,0
"MG17",41,41,41,41,1,0
"MG18",95,95,90,90,0,1
"MG19",90,42,90,42,1,1
"MG20",90,90,90,90,0,1
"MG21",43,43,43,43,1,0
"MG22",90,90,90,90,0,1
"MG24",42,42,42,42,1,0
"MG26",43,43,43,43,1,0
"MG28",43,43,43,43,1,0
"MG29",42,42,42,42,1,0
"MG30",42,90,42,90,1,1
"MG31",42,42,42,42,1,0
"MG32",41,41,41,41,1,0
"MG33",43,41,43,41,1,0
"MG34",43,43,43,43,1,0
"MG35",43,41,43,41,1,0
"MG37",95,95,52,52,0,1
"MG39",42,42,42,42,1,0
"MG41",43,43,43,43,1,0
"SK03",41,43,41,43,1,0
"SK04",43,41,41,43,1,0
"SK08",42,42,42,42,1,0
"SK15",43,43,43,43,1,0
"SK16",90,90,90,90,0,1
"SK17",43,43,43,43,1,0
"SK22",42,42,42,42,1,0
"SK23",41,41,41,41,1,0
"SK24",52,52,52,52,0,1
"SK25",43,43,43,43,1,0
