"V1","file_name"
"MG02_east","Slikok_project_subplot_MG02_east.wkt"
"MG04_east","Slikok_project_subplot_MG04_east.wkt"
"MG05_east","Slikok_project_subplot_MG05_east.wkt"
"MG06_east","Slikok_project_subplot_MG06_east.wkt"
"MG07_east","Slikok_project_subplot_MG07_east.wkt"
"MG08_east","Slikok_project_subplot_MG08_east.wkt"
"MG09_east","Slikok_project_subplot_MG09_east.wkt"
"MG10_east","Slikok_project_subplot_MG10_east.wkt"
"MG12_east","Slikok_project_subplot_MG12_east.wkt"
"MG14_east","Slikok_project_subplot_MG14_east.wkt"
"MG16_east","Slikok_project_subplot_MG16_east.wkt"
"MG17_east","Slikok_project_subplot_MG17_east.wkt"
"MG18_east","Slikok_project_subplot_MG18_east.wkt"
"MG19_east","Slikok_project_subplot_MG19_east.wkt"
"MG20_east","Slikok_project_subplot_MG20_east.wkt"
"MG21_east","Slikok_project_subplot_MG21_east.wkt"
"MG22_east","Slikok_project_subplot_MG22_east.wkt"
"MG24_east","Slikok_project_subplot_MG24_east.wkt"
"MG26_east","Slikok_project_subplot_MG26_east.wkt"
"MG28_east","Slikok_project_subplot_MG28_east.wkt"
"MG29_east","Slikok_project_subplot_MG29_east.wkt"
"MG30_east","Slikok_project_subplot_MG30_east.wkt"
"MG31_east","Slikok_project_subplot_MG31_east.wkt"
"MG32_east","Slikok_project_subplot_MG32_east.wkt"
"MG33_east","Slikok_project_subplot_MG33_east.wkt"
"MG34_east","Slikok_project_subplot_MG34_east.wkt"
"MG35_east","Slikok_project_subplot_MG35_east.wkt"
"MG37_east","Slikok_project_subplot_MG37_east.wkt"
"MG39_east","Slikok_project_subplot_MG39_east.wkt"
"MG41_east","Slikok_project_subplot_MG41_east.wkt"
"SK03_east","Slikok_project_subplot_SK03_east.wkt"
"SK04_east","Slikok_project_subplot_SK04_east.wkt"
"SK08_east","Slikok_project_subplot_SK08_east.wkt"
"SK15_east","Slikok_project_subplot_SK15_east.wkt"
"SK16_east","Slikok_project_subplot_SK16_east.wkt"
"SK17_east","Slikok_project_subplot_SK17_east.wkt"
"SK22_east","Slikok_project_subplot_SK22_east.wkt"
"SK23_east","Slikok_project_subplot_SK23_east.wkt"
"SK24_east","Slikok_project_subplot_SK24_east.wkt"
"SK25_east","Slikok_project_subplot_SK25_east.wkt"
"MG02_west","Slikok_project_subplot_MG02_west.wkt"
"MG04_west","Slikok_project_subplot_MG04_west.wkt"
"MG05_west","Slikok_project_subplot_MG05_west.wkt"
"MG06_west","Slikok_project_subplot_MG06_west.wkt"
"MG07_west","Slikok_project_subplot_MG07_west.wkt"
"MG08_west","Slikok_project_subplot_MG08_west.wkt"
"MG09_west","Slikok_project_subplot_MG09_west.wkt"
"MG10_west","Slikok_project_subplot_MG10_west.wkt"
"MG12_west","Slikok_project_subplot_MG12_west.wkt"
"MG14_west","Slikok_project_subplot_MG14_west.wkt"
"MG16_west","Slikok_project_subplot_MG16_west.wkt"
"MG17_west","Slikok_project_subplot_MG17_west.wkt"
"MG18_west","Slikok_project_subplot_MG18_west.wkt"
"MG19_west","Slikok_project_subplot_MG19_west.wkt"
"MG20_west","Slikok_project_subplot_MG20_west.wkt"
"MG21_west","Slikok_project_subplot_MG21_west.wkt"
"MG22_west","Slikok_project_subplot_MG22_west.wkt"
"MG24_west","Slikok_project_subplot_MG24_west.wkt"
"MG26_west","Slikok_project_subplot_MG26_west.wkt"
"MG28_west","Slikok_project_subplot_MG28_west.wkt"
"MG29_west","Slikok_project_subplot_MG29_west.wkt"
"MG30_west","Slikok_project_subplot_MG30_west.wkt"
"MG31_west","Slikok_project_subplot_MG31_west.wkt"
"MG32_west","Slikok_project_subplot_MG32_west.wkt"
"MG33_west","Slikok_project_subplot_MG33_west.wkt"
"MG34_west","Slikok_project_subplot_MG34_west.wkt"
"MG35_west","Slikok_project_subplot_MG35_west.wkt"
"MG37_west","Slikok_project_subplot_MG37_west.wkt"
"MG39_west","Slikok_project_subplot_MG39_west.wkt"
"MG41_west","Slikok_project_subplot_MG41_west.wkt"
"SK03_west","Slikok_project_subplot_SK03_west.wkt"
"SK04_west","Slikok_project_subplot_SK04_west.wkt"
"SK08_west","Slikok_project_subplot_SK08_west.wkt"
"SK15_west","Slikok_project_subplot_SK15_west.wkt"
"SK16_west","Slikok_project_subplot_SK16_west.wkt"
"SK17_west","Slikok_project_subplot_SK17_west.wkt"
"SK22_west","Slikok_project_subplot_SK22_west.wkt"
"SK23_west","Slikok_project_subplot_SK23_west.wkt"
"SK24_west","Slikok_project_subplot_SK24_west.wkt"
"SK25_west","Slikok_project_subplot_SK25_west.wkt"
